INPUT,/kɑt̪ubut̪ɑs/,/riːmiːt̪i/,/riːmiːt̪/,/let̪ɑs/,/t̪ent̪/,/t̪omet̪ent̪/,/t̪oent̪ent̪/,/wenikɑros/,/wiroɡɑlɑ/,/esoʔkenet̪lɑn/,/esɑsʔkenet̪lɑn/,/esɑnʔkenet̪lɑn/,/esoʔsuːlis/,/esɑsʔsuːlis/,/t̪oriːmo/,/niːsʔt̪oriːmiːt̪/,/ɡoni/,/klut̪ɑn/,/bit̪oːs/,/mroɡis/,/moniklɑs/,/esoʔɡoni/,/esɑnʔɡoni/,/sesɑnʔsuːliːs/,/esoʔlet̪ɑs/,/nemos/,/dubnowɑlos/,/kɑmbos/,/ɑdmentos/,/ɑmsterɑː/,/ɑmɑrom/,/ɑmɸlɑbros/,/beismɑn/,/kɑnxsmɑn/,/klɑmos/,/knɑːmis/,/komɸroɑnkom/,/kurmi/
R0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*/ɑmhlɑbros/,,,,,*/komhroɑnkom/,
R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*/ɑmlɑbros/,,,,,*/komroɑnkom/,
R2,,*/rːiːmːiːt̪i/,*/rːiːmːiːt̪/,*/lːet̪ɑs/,*/t̪enːt̪/,*/t̪omːet̪enːt̪/,*/t̪oenːt̪enːt̪/,*/wenːikɑrːos/,*/wirːoɡɑlːɑ/,*/esoʔkenːet̪lːɑnː/,*/esɑsʔkenːet̪lːɑnː/,*/esɑnːʔkenːet̪lːɑnː/,*/esoʔsuːlːis/,*/esɑsʔsuːlːis/,*/t̪orːiːmːo/,*/nːiːsʔt̪orːiːmːiːt̪/,*/ɡonːi/,*/klːut̪ɑnː/,,*/mːrːoɡis/,*/mːonːiklːɑs/,*/esoʔɡonːi/,*/esɑnːʔɡonːi/,*/sesɑnːʔsuːlːiːs/,*/esoʔlːet̪ɑs/,*/nːemːos/,*/dubnːowɑlːos/,*/kɑmːbos/,*/ɑdmːenːtos/,*/ɑmːsterːɑː/,*/ɑmːɑrːomː/,*/ɑmːlːɑbrːos/,*/beismːɑnː/,*/kɑnːxsmːɑnː/,*/klːɑmːos/,*/knːɑːmːis/,*/komːrːoɑnːkomː/,*/kurːmːi/
R3,,,,,,,,*/fenːikɑrːos/,*/firːoɡɑlːɑ/,,,,,,,,,,,,,,,,,,*/dubnːofɑlːos/,,,,,,,,,,,
R4,,,,,,,*/t̪enːt̪enːt̪/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*/komːrːɑnːkomː/,
R5,*/kˈɑt̪ubut̪ɑs/,*/rːˈiːmːiːt̪i/,*/rːˈiːmːiːt̪/,*/lːˈet̪ɑs/,*/t̪ˈenːt̪/,*/t̪ˈomːet̪enːt̪/,*/t̪ˈenːt̪enːt̪/,*/fˈenːikɑrːos/,*/fˈirːoɡɑlːɑ/,*/ˈesoʔkenːet̪lːɑnː/,*/ˈesɑsʔkenːet̪lːɑnː/,*/ˈesɑnːʔkenːet̪lːɑnː/,*/ˈesoʔsuːlːis/,*/ˈesɑsʔsuːlːis/,*/t̪ˈorːiːmːo/,*/nːˈiːsʔt̪orːiːmːiːt̪/,*/ɡˈonːi/,*/klːˈut̪ɑnː/,*/bˈit̪oːs/,*/mːrːˈoɡis/,*/mːˈonːiklːɑs/,*/ˈesoʔɡonːi/,*/ˈesɑnːʔɡonːi/,*/sˈesɑnːʔsuːlːiːs/,*/ˈesoʔlːet̪ɑs/,*/nːˈemːos/,*/dˈubnːofɑlːos/,*/kˈɑmːbos/,*/ˈɑdmːenːtos/,*/ˈɑmːsterːɑː/,*/ˈɑmːɑrːomː/,*/ˈɑmːlːɑbrːos/,*/bˈeismːɑnː/,*/kˈɑnːxsmːɑnː/,*/klːˈɑmːos/,*/knːˈɑːmːis/,*/kˈomːrːɑnːkomː/,*/kˈurːmːi/
R6,,,,,,,,,,*/ˈesoʔkˈenːet̪lːɑnː/,*/ˈesɑsʔkˈenːet̪lːɑnː/,*/ˈesɑnːʔkˈenːet̪lːɑnː/,*/ˈesoʔsˈuːlːis/,*/ˈesɑsʔsˈuːlːis/,,*/nːˈiːsʔt̪ˈorːiːmːiːt̪/,,,,,,*/ˈesoʔɡˈonːi/,*/ˈesɑnːʔɡˈonːi/,*/sˈesɑnːʔsˈuːlːiːs/,*/ˈesoʔlːˈet̪ɑs/,,,,,,,,,,,,,
R7,,,,,,,,,,*/ˈesokˈenːet̪lːɑnː/,*/ˈesɑskˈenːet̪lːɑnː/,*/ˈesɑnːkˈenːet̪lːɑnː/,*/ˈesosˈuːlːis/,*/ˈesɑssˈuːlːis/,,*/nːˈiːst̪ˈorːiːmːiːt̪/,,,,,,*/ˈesoɡˈonːi/,*/ˈesɑnːɡˈonːi/,*/sˈesɑnːsˈuːlːiːs/,*/ˈesolːˈet̪ɑs/,,,,,,,,,,,,,
R8,*/kˈɑθuβuθɑs/,*/rːˈiːmːiːθi/,,*/lːˈeθɑs/,,*/t̪ˈomːeθenːt̪/,,*/fˈenːixɑrːos/,*/fˈirːoɣɑlːɑ/,*/ˈesoxˈenːet̪lːɑnː/,,,,,,,,*/klːˈuθɑnː/,*/bˈiθoːs/,*/mːrːˈoɣis/,,*/ˈesoɣˈonːi/,,,*/ˈesolːˈeθɑs/,,,,,,,,,,,,,
R9,,*/rːˈiːmiːθi/,*/rːˈiːmiːt̪/,,,*/t̪ˈomeθenːt̪/,,,,,,,,,*/t̪ˈorːiːmo/,*/nːˈiːst̪ˈorːiːmiːt̪/,,,,,,,,,,*/nːˈemos/,,,,,*/ˈɑmɑrːomː/,,,,*/klːˈɑmos/,*/knːˈɑːmis/,,
